Repo Name,Username,Stars,URL
public-apis,public-apis,169000,https://github.com/public-apis/public-apis
httpie,httpie,52900,https://github.com/httpie/httpie
neovim,neovim,48900,https://github.com/neovim/neovim
strapi,strapi,41100,https://github.com/strapi/strapi
fastapi,tiangolo,38800,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,34100,https://github.com/hoppscotch/hoppscotch
slate,slatedocs,33400,https://github.com/slatedocs/slate
graphql-engine,hasura,24600,https://github.com/hasura/graphql-engine
yapi,YMFE,23100,https://github.com/YMFE/yapi
django-rest-framework,encode,22300,https://github.com/encode/django-rest-framework
ccxt,ccxt,22200,https://github.com/ccxt/ccxt
NeteaseCloudMusicApi,Binaryify,22100,https://github.com/Binaryify/NeteaseCloudMusicApi
ItChat,littlecodersh,21900,https://github.com/littlecodersh/ItChat
normalizr,paularmstrong,20700,https://github.com/paularmstrong/normalizr
security-guide-for-developers,FallibleInc,20000,https://github.com/FallibleInc/security-guide-for-developers
insomnia,Kong,18800,https://github.com/Kong/insomnia
api-guidelines,microsoft,17800,https://github.com/microsoft/api-guidelines
rxdb,pubkey,16600,https://github.com/pubkey/rxdb
API-Security-Checklist,shieldfy,16300,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13500,https://github.com/learn-anything/learn-anything
wxpy,youfou,13000,https://github.com/youfou/wxpy
directus,directus,12900,https://github.com/directus/directus
jsdoc,jsdoc,12500,https://github.com/jsdoc/jsdoc
brain.js,BrainJS,12300,https://github.com/BrainJS/brain.js
web3.js,ChainSafe,12200,https://github.com/ChainSafe/web3.js
postgraphile,graphile,10900,https://github.com/graphile/postgraphile
micro,micro,10700,https://github.com/micro/micro
free-api,fangzesheng,10600,https://github.com/fangzesheng/free-api
openapi-generator,OpenAPITools,10500,https://github.com/OpenAPITools/openapi-generator
chi,go-chi,10500,https://github.com/go-chi/chi
