Repo Name,Username,Stars,URL
aspnetboilerplate,aspnetboilerplate,10000,https://github.com/aspnetboilerplate/aspnetboilerplate
AspNetCore.Docs,dotnet,9900,https://github.com/dotnet/AspNetCore.Docs
server,bitwarden,8700,https://github.com/bitwarden/server
nopCommerce,nopSolutions,6800,https://github.com/nopSolutions/nopCommerce
Electron.NET,ElectronNET,6100,https://github.com/ElectronNET/Electron.NET
NSwag,RicoSuter,4800,https://github.com/RicoSuter/NSwag
clean-code-dotnet,thangchung,4400,https://github.com/thangchung/clean-code-dotnet
ImageProcessor,JimBobSquarePants,2500,https://github.com/JimBobSquarePants/ImageProcessor
SmartStoreNET,smartstore,2300,https://github.com/smartstore/SmartStoreNET
aspnet-api-versioning,dotnet,2100,https://github.com/dotnet/aspnet-api-versioning
BaGet,loic-sharma,1800,https://github.com/loic-sharma/BaGet
Awesome-Microservices-NetCore,mjebrahimi,1500,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
aspnetcore-angular-universal,TrilonIO,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
aspnetcore-Vue-starter,TrilonIO,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
DncZeus,lampo1024,1200,https://github.com/lampo1024/DncZeus
csla,MarimerLLC,960,https://github.com/MarimerLLC/csla
dotvvm,riganti,580,https://github.com/riganti/dotvvm
aspnet-core-3-jwt-authentication-api,cornflourblue,568,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
SharPyShell,antonioCoco,495,https://github.com/antonioCoco/SharPyShell
mvcarchitecture,chsakell,446,https://github.com/chsakell/mvcarchitecture
Gofer.NET,brthor,420,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,413,https://github.com/YAFNET/YAFNET
rrod,Maarten88,377,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,362,https://github.com/SapphireDb/SapphireDb
BlazorTable,IvanJosipovic,354,https://github.com/IvanJosipovic/BlazorTable
WebMarkupMin,Taritsyn,339,https://github.com/Taritsyn/WebMarkupMin
aspnet-core-identity,chsakell,309,https://github.com/chsakell/aspnet-core-identity
aspnetcore-vueclimiddleware,EEParker,304,https://github.com/EEParker/aspnetcore-vueclimiddleware
datatables.aspnet,ALMMa,284,https://github.com/ALMMa/datatables.aspnet
aspnet-core-jwt-authentication-api,cornflourblue,275,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
