Repo Name,Username,Stars,URL
coding-interview-university,jwasham,199000,https://github.com/jwasham/coding-interview-university
CS-Notes,CyC2018,142000,https://github.com/CyC2018/CS-Notes
javascript-algorithms,trekhleb,127000,https://github.com/trekhleb/javascript-algorithms
Python,TheAlgorithms,124000,https://github.com/TheAlgorithms/Python
tech-interview-handbook,yangshun,61300,https://github.com/yangshun/tech-interview-handbook
interviews,kdn251,54700,https://github.com/kdn251/interviews
leetcode,azl397985856,45300,https://github.com/azl397985856/leetcode
Java,TheAlgorithms,42500,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,35900,https://github.com/algorithm-visualizer/algorithm-visualizer
JCSprout,crossoverJie,26500,https://github.com/crossoverJie/JCSprout
interactive-coding-challenges,donnemartin,24200,https://github.com/donnemartin/interactive-coding-challenges
LeetCode-Go,halfrost,22000,https://github.com/halfrost/LeetCode-Go
interview,huihut,21400,https://github.com/huihut/interview
algorithms,keon,20000,https://github.com/keon/algorithms
leetcode-master,youngyangyang04,18600,https://github.com/youngyangyang04/leetcode-master
homemade-machine-learning,trekhleb,18500,https://github.com/trekhleb/homemade-machine-learning
WaveFunctionCollapse,mxgmn,17000,https://github.com/mxgmn/WaveFunctionCollapse
C-Plus-Plus,TheAlgorithms,16900,https://github.com/TheAlgorithms/C-Plus-Plus
Javascript,TheAlgorithms,16000,https://github.com/TheAlgorithms/Javascript
PythonRobotics,AtsushiSakai,13700,https://github.com/AtsushiSakai/PythonRobotics
cosmos,OpenGenus,12900,https://github.com/OpenGenus/cosmos
algorithm-pattern,greyireland,12900,https://github.com/greyireland/algorithm-pattern
Algorithms,williamfiset,11400,https://github.com/williamfiset/Algorithms
apachecn-algo-zh,apachecn,10500,https://github.com/apachecn/apachecn-algo-zh
Halfrost-Field,halfrost,10300,https://github.com/halfrost/Halfrost-Field
awesome-competitive-programming,lnishan,9100,https://github.com/lnishan/awesome-competitive-programming
awesome-java-leetcode,Blankj,8300,https://github.com/Blankj/awesome-java-leetcode
algorithms,jeffgerickson,7400,https://github.com/jeffgerickson/algorithms
vscode-leetcode,LeetCode-OpenSource,6900,https://github.com/LeetCode-OpenSource/vscode-leetcode
javascript-algorithms,mgechev,6900,https://github.com/mgechev/javascript-algorithms
