Repo Name,Username,Stars,URL
serverless,serverless,41400,https://github.com/serverless/serverless
localstack,localstack,37400,https://github.com/localstack/localstack
data-science-ipython-notebooks,donnemartin,21900,https://github.com/donnemartin/data-science-ipython-notebooks
devops-exercises,bregman-arie,19600,https://github.com/bregman-arie/devops-exercises
awesome-kubernetes,ramitsurana,12300,https://github.com/ramitsurana/awesome-kubernetes
aws-cli,aws,11700,https://github.com/aws/aws-cli
kubespray,kubernetes-sigs,11500,https://github.com/kubernetes-sigs/kubespray
pulumi,pulumi,10700,https://github.com/pulumi/pulumi
awesome-aws,donnemartin,9900,https://github.com/donnemartin/awesome-aws
cas,apereo,9100,https://github.com/apereo/cas
sops,mozilla,8700,https://github.com/mozilla/sops
amplify-js,aws-amplify,8500,https://github.com/aws-amplify/amplify-js
chalice,aws,8500,https://github.com/aws/chalice
up,apex,8400,https://github.com/apex/up
serverless-application-model,aws,8300,https://github.com/aws/serverless-application-model
go-cloud,google,8100,https://github.com/google/go-cloud
caprover,caprover,7900,https://github.com/caprover/caprover
aws-cdk,aws,7900,https://github.com/aws/aws-cdk
aws-sdk-go,aws,7200,https://github.com/aws/aws-sdk-go
openvpn-install,angristan,7100,https://github.com/angristan/openvpn-install
boto3,boto,6900,https://github.com/boto/boto3
aws-sdk-js,aws,6800,https://github.com/aws/aws-sdk-js
terraform-provider-aws,hashicorp,6600,https://github.com/hashicorp/terraform-provider-aws
aws-shell,awslabs,6300,https://github.com/awslabs/aws-shell
amazon-sagemaker-examples,aws,6300,https://github.com/aws/amazon-sagemaker-examples
terraformer,GoogleCloudPlatform,6200,https://github.com/GoogleCloudPlatform/terraformer
aws-sam-cli,aws,5800,https://github.com/aws/aws-sam-cli
terratest,gruntwork-io,5700,https://github.com/gruntwork-io/terratest
dev-setup,donnemartin,5600,https://github.com/donnemartin/dev-setup
aws-vault,99designs,5500,https://github.com/99designs/aws-vault
