Repo Name,Username,Stars,URL
amp,amphp,3400,https://github.com/amphp/amp
MadelineProto,danog,1700,https://github.com/danog/MadelineProto
http-server,amphp,1200,https://github.com/amphp/http-server
telegram-api,unreal4u,681,https://github.com/unreal4u/telegram-api
http-client,amphp,587,https://github.com/amphp/http-client
parallel,amphp,525,https://github.com/amphp/parallel
service-bus,php-service-bus,308,https://github.com/php-service-bus/service-bus
byte-stream,amphp,255,https://github.com/amphp/byte-stream
mysql,amphp,254,https://github.com/amphp/mysql
parallel-functions,amphp,201,https://github.com/amphp/parallel-functions
process,amphp,146,https://github.com/amphp/process
socket,amphp,140,https://github.com/amphp/socket
redis,amphp,118,https://github.com/amphp/redis
acme,kelunik,105,https://github.com/kelunik/acme
dns,amphp,97,https://github.com/amphp/dns
websocket-client,amphp,93,https://github.com/amphp/websocket-client
mailgrab,PeeHaa,91,https://github.com/PeeHaa/mailgrab
sync,amphp,87,https://github.com/amphp/sync
asynit,jolicode,68,https://github.com/jolicode/asynit
websocket-server,amphp,65,https://github.com/amphp/websocket-server
file,amphp,59,https://github.com/amphp/file
cache,amphp,59,https://github.com/amphp/cache
postgres,amphp,58,https://github.com/amphp/postgres
serialization,amphp,56,https://github.com/amphp/serialization
beanstalk,amphp,55,https://github.com/amphp/beanstalk
windows-registry,amphp,55,https://github.com/amphp/windows-registry
hpack,amphp,53,https://github.com/amphp/hpack
ridge,phpinnacle,43,https://github.com/phpinnacle/ridge
aerys,amphp,42,https://github.com/amphp/aerys
Jeeves,Room-11,40,https://github.com/Room-11/Jeeves
