Repo Name,Username,Stars,URL
flutter,flutter,133000,https://github.com/flutter/flutter
free-programming-books-zh_CN,justjavac,84500,https://github.com/justjavac/free-programming-books-zh_CN
scrcpy,Genymobile,58000,https://github.com/Genymobile/scrcpy
Awesome-Hacking,Hack-with-Github,47800,https://github.com/Hack-with-Github/Awesome-Hacking
material-design-icons,google,44400,https://github.com/google/material-design-icons
awesome-android-ui,wasabeef,41700,https://github.com/wasabeef/awesome-android-ui
okhttp,square,41200,https://github.com/square/okhttp
architecture-samples,android,39800,https://github.com/android/architecture-samples
retrofit,square,39100,https://github.com/square/retrofit
awesome-flutter,Solido,38300,https://github.com/Solido/awesome-flutter
MPAndroidChart,PhilJay,34300,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,33300,https://github.com/fastlane/fastlane
shadowsocks-android,shadowsocks,32100,https://github.com/shadowsocks/shadowsocks-android
lottie-android,airbnb,32100,https://github.com/airbnb/lottie-android
glide,bumptech,32000,https://github.com/bumptech/glide
android-open-project,Trinea,30800,https://github.com/Trinea/android-open-project
AndroidUtilCode,Blankj,30100,https://github.com/Blankj/AndroidUtilCode
gold-miner,xitu,29800,https://github.com/xitu/gold-miner
ijkplayer,bilibili,29700,https://github.com/bilibili/ijkplayer
zxing,zxing,28700,https://github.com/zxing/zxing
jadx,skylot,27900,https://github.com/skylot/jadx
android_guides,codepath,27600,https://github.com/codepath/android_guides
leakcanary,square,27000,https://github.com/square/leakcanary
joplin,laurent22,26600,https://github.com/laurent22/joplin
fastjson,alibaba,24000,https://github.com/alibaba/fastjson
SmartRefreshLayout,scwang90,23100,https://github.com/scwang90/SmartRefreshLayout
BaseRecyclerViewAdapterHelper,CymChad,22500,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,21700,https://github.com/react-native-elements/react-native-elements
iosched,google,20900,https://github.com/google/iosched
NativeScript,NativeScript,20700,https://github.com/NativeScript/NativeScript
