Repo Name,Username,Stars,URL
ansible,ansible,50900,https://github.com/ansible/ansible
algo,trailofbits,24200,https://github.com/trailofbits/algo
streisand,StreisandEffect,22600,https://github.com/StreisandEffect/streisand
devops-exercises,bregman-arie,19600,https://github.com/bregman-arie/devops-exercises
kubespray,kubernetes-sigs,11500,https://github.com/kubernetes-sigs/kubespray
awx,ansible,10400,https://github.com/ansible/awx
kubeasz,easzlab,7600,https://github.com/easzlab/kubeasz
ansible-for-devops,geerlingguy,5200,https://github.com/geerlingguy/ansible-for-devops
semaphore,ansible-semaphore,4500,https://github.com/ansible-semaphore/semaphore
rundeck,rundeck,4400,https://github.com/rundeck/rundeck
mac-dev-playbook,geerlingguy,4100,https://github.com/geerlingguy/mac-dev-playbook
KubeOperator,KubeOperator,4100,https://github.com/KubeOperator/KubeOperator
DevOps-Guide,Tikam02,4100,https://github.com/Tikam02/DevOps-Guide
molecule,ansible-community,3200,https://github.com/ansible-community/molecule
DetectionLab,clong,3200,https://github.com/clong/DetectionLab
opendevops,opendevops-cn,3000,https://github.com/opendevops-cn/opendevops
OpsManage,welliamcao,2800,https://github.com/welliamcao/OpsManage
werf,werf,2800,https://github.com/werf/werf
netboot.xyz,netbootxyz,2700,https://github.com/netbootxyz/netboot.xyz
ansible-lint,ansible-community,2600,https://github.com/ansible-community/ansible-lint
ansible-collection-hardening,dev-sec,2500,https://github.com/dev-sec/ansible-collection-hardening
chrome-aws-lambda,alixaxel,2500,https://github.com/alixaxel/chrome-aws-lambda
litmus,litmuschaos,2300,https://github.com/litmuschaos/litmus
trellis,roots,2300,https://github.com/roots/trellis
deploy,ansistrano,2100,https://github.com/ansistrano/deploy
openshift-ansible,openshift,2000,https://github.com/openshift/openshift-ansible
ansible-cmdb,fboender,2000,https://github.com/fboender/ansible-cmdb
pytest-testinfra,pytest-dev,2000,https://github.com/pytest-dev/pytest-testinfra
ansible-tuto,leucos,2000,https://github.com/leucos/ansible-tuto
infrastructure-as-code-tutorial,Artemmkin,1900,https://github.com/Artemmkin/infrastructure-as-code-tutorial
