Repo Name,Username,Stars,URL
atom,atom,56400,https://github.com/atom/atom
themer,themerdev,4500,https://github.com/themerdev/themer
hydrogen,nteract,3800,https://github.com/nteract/hydrogen
markdown-preview-enhanced,shd101wyy,3400,https://github.com/shd101wyy/markdown-preview-enhanced
v2,miniflux,3200,https://github.com/miniflux/v2
teletype,atom,2300,https://github.com/atom/teletype
awesome-atom,mehcode,1900,https://github.com/mehcode/awesome-atom
gofeed,mmcdole,1700,https://github.com/mmcdole/gofeed
go-plus,joefitzgerald,1500,https://github.com/joefitzgerald/go-plus
atom-beautify,Glavin001,1500,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1400,https://github.com/simplepie/simplepie
atom-vim-mode-plus,t9md,1400,https://github.com/t9md/atom-vim-mode-plus
merlin,ocaml,1400,https://github.com/ocaml/merlin
feedparser,kurtmckee,1300,https://github.com/kurtmckee/feedparser
MagicPython,MagicStack,1300,https://github.com/MagicStack/MagicPython
apm,atom,1200,https://github.com/atom/apm
atom,file-icons,1200,https://github.com/file-icons/atom
atomic-layout,kettanaito,1000,https://github.com/kettanaito/atomic-layout
github,atom,981,https://github.com/atom/github
FeedKit,nmdias,939,https://github.com/nmdias/FeedKit
atom-one-dark-terminal,nathanbuchar,931,https://github.com/nathanbuchar/atom-one-dark-terminal
atomic-chrome,danhper,928,https://github.com/danhper/atomic-chrome
seti-ui,jesseweed,884,https://github.com/jesseweed/seti-ui
kotlin-language-server,fwcd,812,https://github.com/fwcd/kotlin-language-server
prettier-atom,prettier,768,https://github.com/prettier/prettier-atom
lucario,raphamorim,732,https://github.com/raphamorim/lucario
atom-script,atom-community,727,https://github.com/atom-community/atom-script
cypht,jasonmunro,680,https://github.com/jasonmunro/cypht
feed,jpmonette,671,https://github.com/jpmonette/feed
jekyll-feed,jekyll,668,https://github.com/jekyll/jekyll-feed
