Repo Name,Username,Stars,URL
awesome,sindresorhus,177000,https://github.com/sindresorhus/awesome
awesome-python,vinta,108000,https://github.com/vinta/awesome-python
awesome-go,avelino,71300,https://github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,68700,https://github.com/awesome-selfhosted/awesome-selfhosted
the-book-of-secret-knowledge,trimstray,53900,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,50300,https://github.com/papers-we-love/papers-we-love
HelloGitHub,521xueweihan,48700,https://github.com/521xueweihan/HelloGitHub
Awesome-Hacking,Hack-with-Github,47800,https://github.com/Hack-with-Github/Awesome-Hacking
awesome-mac,jaywcjlove,46400,https://github.com/jaywcjlove/awesome-mac
awesome-interview-questions,DopplerHQ,44200,https://github.com/DopplerHQ/awesome-interview-questions
awesome-nodejs,sindresorhus,43100,https://github.com/sindresorhus/awesome-nodejs
awesome-android-ui,wasabeef,41700,https://github.com/wasabeef/awesome-android-ui
awesome-ios,vsouza,38600,https://github.com/vsouza/awesome-ios
awesome-courses,prakhar1989,38600,https://github.com/prakhar1989/awesome-courses
awesome-flutter,Solido,38300,https://github.com/Solido/awesome-flutter
awesome-for-beginners,MunGell,36700,https://github.com/MunGell/awesome-for-beginners
awesome-scalability,binhnguyennus,36500,https://github.com/binhnguyennus/awesome-scalability
awesome-cpp,fffaraz,34900,https://github.com/fffaraz/awesome-cpp
github-cheat-sheet,tiimgreen,33500,https://github.com/tiimgreen/github-cheat-sheet
frontend-dev-bookmarks,dypsilon,32900,https://github.com/dypsilon/frontend-dev-bookmarks
awesome-java,akullpp,30700,https://github.com/akullpp/awesome-java
open-source-mac-os-apps,serhii-londar,28800,https://github.com/serhii-londar/open-source-mac-os-apps
open-source-ios-apps,dkhamsing,28700,https://github.com/dkhamsing/open-source-ios-apps
awesome-react-components,brillout,28500,https://github.com/brillout/awesome-react-components
awesome-php,ziadoz,26000,https://github.com/ziadoz/awesome-php
awesome-macos-command-line,herrbischoff,25600,https://github.com/herrbischoff/awesome-macos-command-line
Awesome-Design-Tools,goabstract,23700,https://github.com/goabstract/Awesome-Design-Tools
awesome-rust,rust-unofficial,22900,https://github.com/rust-unofficial/awesome-rust
awesome-shell,alebcay,22500,https://github.com/alebcay/awesome-shell
awesome-electron,sindresorhus,22200,https://github.com/sindresorhus/awesome-electron
