Repo Name,Username,Stars,URL
devops-exercises,bregman-arie,19600,https://github.com/bregman-arie/devops-exercises
awesome-kubernetes,ramitsurana,12300,https://github.com/ramitsurana/awesome-kubernetes
recommenders,microsoft,11700,https://github.com/microsoft/recommenders
azure-quickstart-templates,Azure,11100,https://github.com/Azure/azure-quickstart-templates
pulumi,pulumi,10700,https://github.com/pulumi/pulumi
sops,mozilla,8700,https://github.com/mozilla/sops
computervision-recipes,microsoft,8200,https://github.com/microsoft/computervision-recipes
go-cloud,google,8100,https://github.com/google/go-cloud
caprover,caprover,7900,https://github.com/caprover/caprover
azuredatastudio,microsoft,6600,https://github.com/microsoft/azuredatastudio
formidable,node-formidable,6100,https://github.com/node-formidable/formidable
midway,midwayjs,5000,https://github.com/midwayjs/midway
infracost,infracost,4400,https://github.com/infracost/infracost
clean-code-dotnet,thangchung,4400,https://github.com/thangchung/clean-code-dotnet
docker-android,budtmo,4000,https://github.com/budtmo/docker-android
cloud-custodian,cloud-custodian,3900,https://github.com/cloud-custodian/cloud-custodian
ScoutSuite,nccgroup,3700,https://github.com/nccgroup/ScoutSuite
autorest,Azure,3600,https://github.com/Azure/autorest
tfsec,aquasecurity,3500,https://github.com/aquasecurity/tfsec
grant,simov,3500,https://github.com/simov/grant
checkov,bridgecrewio,3500,https://github.com/bridgecrewio/checkov
engine,Qovery,3400,https://github.com/Qovery/engine
azure-sdk-for-net,Azure,3000,https://github.com/Azure/azure-sdk-for-net
terraform-provider-azurerm,hashicorp,3000,https://github.com/hashicorp/terraform-provider-azurerm
azure-powershell,Azure,2800,https://github.com/Azure/azure-powershell
azure-cli,Azure,2800,https://github.com/Azure/azure-cli
SynapseML,microsoft,2800,https://github.com/microsoft/SynapseML
MachineLearningNotebooks,Azure,2800,https://github.com/Azure/MachineLearningNotebooks
komiser,mlabouardy,2700,https://github.com/mlabouardy/komiser
openapi-directory,APIs-guru,2600,https://github.com/APIs-guru/openapi-directory
