Repo Name,Username,Stars,URL
the-art-of-command-line,jlevy,98800,https://github.com/jlevy/the-art-of-command-line
nvm,nvm-sh,53400,https://github.com/nvm-sh/nvm
fzf,junegunn,40600,https://github.com/junegunn/fzf
pure-bash-bible,dylanaraps,28000,https://github.com/dylanaraps/pure-bash-bible
dotfiles,mathiasbynens,27200,https://github.com/mathiasbynens/dotfiles
shellcheck,koalaman,26900,https://github.com/koalaman/shellcheck
awesome-cheatsheets,LeCoupa,25800,https://github.com/LeCoupa/awesome-cheatsheets
acme.sh,acmesh-official,24400,https://github.com/acmesh-official/acme.sh
awesome-shell,alebcay,22500,https://github.com/alebcay/awesome-shell
starship,starship,20100,https://github.com/starship/starship
linux-command,jaywcjlove,17300,https://github.com/jaywcjlove/linux-command
openvpn-install,Nyr,14100,https://github.com/Nyr/openvpn-install
rbenv,rbenv,13800,https://github.com/rbenv/rbenv
neofetch,dylanaraps,13600,https://github.com/dylanaraps/neofetch
powerline,powerline,12900,https://github.com/powerline/powerline
shelljs,shelljs,12900,https://github.com/shelljs/shelljs
bash-it,Bash-it,12600,https://github.com/Bash-it/bash-it
dockerfiles,jessfraz,12200,https://github.com/jessfraz/dockerfiles
terminalizer,faressoft,12100,https://github.com/faressoft/terminalizer
navi,denisidoro,10000,https://github.com/denisidoro/navi
TabNine,codota,8800,https://github.com/codota/TabNine
m-cli,rgcr,8600,https://github.com/rgcr/m-cli
Bash-Snippets,alexanderepstein,8500,https://github.com/alexanderepstein/Bash-Snippets
mal,kanaka,8200,https://github.com/kanaka/mal
direnv,direnv,8100,https://github.com/direnv/direnv
autocomplete,withfig,7900,https://github.com/withfig/autocomplete
awesome-cheatsheets,skywind3000,7800,https://github.com/skywind3000/awesome-cheatsheets
openvpn-install,angristan,7100,https://github.com/angristan/openvpn-install
PEASS-ng,carlospolop,7000,https://github.com/carlospolop/PEASS-ng
gitui,extrawurst,6500,https://github.com/extrawurst/gitui
