Repo Name,Username,Stars,URL
bitcoin,bitcoin,59500,https://github.com/bitcoin/bitcoin
ccxt,ccxt,22200,https://github.com/ccxt/ccxt
ZeroNet,HelloZeroNet,17200,https://github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,13700,https://github.com/freqtrade/freqtrade
gekko,askmike,9800,https://github.com/askmike/gekko
abu,bbfamily,8500,https://github.com/bbfamily/abu
lbry-sdk,lbryio,7200,https://github.com/lbryio/lbry-sdk
blockchain,dvf,6400,https://github.com/dvf/blockchain
blockchain_guide,yeasy,5900,https://github.com/yeasy/blockchain_guide
solana,solana-labs,5800,https://github.com/solana-labs/solana
lnd,lightningnetwork,5600,https://github.com/lightningnetwork/lnd
blackbird,butor,5400,https://github.com/butor/blackbird
electrum,spesmilo,5300,https://github.com/spesmilo/electrum
btcd,btcsuite,4500,https://github.com/btcsuite/btcd
bitcoinjs-lib,bitcoinjs,4400,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4100,https://github.com/bitcoinj/bitcoinj
bisq,bisq-network,3800,https://github.com/bisq-network/bisq
tribeca,michaelgrosner,3600,https://github.com/michaelgrosner/tribeca
Crypto-Signal,CryptoSignal,3600,https://github.com/CryptoSignal/Crypto-Signal
EthList,Scanate,3600,https://github.com/Scanate/EthList
alpha_vantage,RomelTorres,3500,https://github.com/RomelTorres/alpha_vantage
awesome-coins,Zheaoli,3500,https://github.com/Zheaoli/awesome-coins
CryptoList,coinpride,3400,https://github.com/coinpride/CryptoList
wallet,bitpay,3400,https://github.com/bitpay/wallet
jesse,jesse-ai,3300,https://github.com/jesse-ai/jesse
squeezer,SqueezerIO,3200,https://github.com/SqueezerIO/squeezer
blockchain_go,Jeiwan,3100,https://github.com/Jeiwan/blockchain_go
btcpayserver,btcpayserver,3100,https://github.com/btcpayserver/btcpayserver
cointop,cointop-sh,2800,https://github.com/cointop-sh/cointop
lbrycrd,lbryio,2800,https://github.com/lbryio/lbrycrd
