Repo Name,Username,Stars,URL
ccxt,ccxt,22200,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,17000,https://github.com/python-telegram-bot/python-telegram-bot
discord.js,discordjs,16300,https://github.com/discordjs/discord.js
hubot,hubotio,16000,https://github.com/hubotio/hubot
InstaPy,InstaPy,13500,https://github.com/InstaPy/InstaPy
rasa,RasaHQ,13100,https://github.com/RasaHQ/rasa
ChatterBot,gunthercox,11700,https://github.com/gunthercox/ChatterBot
wechaty,wechaty,11500,https://github.com/wechaty/wechaty
botkit,howdyai,10500,https://github.com/howdyai/botkit
botpress,botpress,9500,https://github.com/botpress/botpress
EverydayWechat,sfyc23,8600,https://github.com/sfyc23/EverydayWechat
YYeTsBot,tgbot-collection,8300,https://github.com/tgbot-collection/YYeTsBot
leon,leon-ai,8100,https://github.com/leon-ai/leon
EZFN-Lobbybot,EZFNDEV,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
ailab,microsoft,6900,https://github.com/microsoft/ailab
botframework-sdk,microsoft,6700,https://github.com/microsoft/botframework-sdk
trump2cash,maxbbraun,6000,https://github.com/maxbbraun/trump2cash
node-telegram-bot-api,yagop,5700,https://github.com/yagop/node-telegram-bot-api
botman,botman,5500,https://github.com/botman/botman
DeepPavlov,deepmipt,5500,https://github.com/deepmipt/DeepPavlov
telegraf,telegraf,5100,https://github.com/telegraf/telegraf
nlp.js,axa-group,4600,https://github.com/axa-group/nlp.js
streetmerchant,jef,4600,https://github.com/jef/streetmerchant
igbot,ohld,4100,https://github.com/ohld/igbot
whatsapp-web.js,pedroslopez,4000,https://github.com/pedroslopez/whatsapp-web.js
bottender,Yoctol,3800,https://github.com/Yoctol/bottender
PokemonGo-Bot,PokemonGoF,3700,https://github.com/PokemonGoF/PokemonGo-Bot
snips-nlu,snipsco,3600,https://github.com/snipsco/snips-nlu
venom,orkestral,3400,https://github.com/orkestral/venom
telegram-list,goq,3300,https://github.com/goq/telegram-list
