Repo Name,Username,Stars,URL
CS-Notes,CyC2018,142000,https://github.com/CyC2018/CS-Notes
project-based-learning,practical-tutorials,59500,https://github.com/practical-tutorials/project-based-learning
leetcode,azl397985856,45300,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,37700,https://github.com/x64dbg/x64dbg
awesome-cpp,fffaraz,34900,https://github.com/fffaraz/awesome-cpp
calculator,microsoft,23200,https://github.com/microsoft/calculator
openpose,CMU-Perceptual-Computing-Lab,22700,https://github.com/CMU-Perceptual-Computing-Lab/openpose
interview,huihut,21400,https://github.com/huihut/interview
leetcode-master,youngyangyang04,18600,https://github.com/youngyangyang04/leetcode-master
yuzu,yuzu-emu,17100,https://github.com/yuzu-emu/yuzu
C-Plus-Plus,TheAlgorithms,16900,https://github.com/TheAlgorithms/C-Plus-Plus
modern-cpp-tutorial,changkun,15700,https://github.com/changkun/modern-cpp-tutorial
vcpkg,microsoft,14300,https://github.com/microsoft/vcpkg
Catch2,catchorg,14300,https://github.com/catchorg/Catch2
solidity,ethereum,13300,https://github.com/ethereum/solidity
spdlog,gabime,13200,https://github.com/gabime/spdlog
modern-cpp-features,AnthonyCalandra,13000,https://github.com/AnthonyCalandra/modern-cpp-features
Qv2ray,Qv2ray,12800,https://github.com/Qv2ray/Qv2ray
infer,facebook,12800,https://github.com/facebook/infer
Sourcetrail,CoatiSoftware,12200,https://github.com/CoatiSoftware/Sourcetrail
tink,google,11800,https://github.com/google/tink
tinyrenderer,ssloy,11700,https://github.com/ssloy/tinyrenderer
antlr4,antlr,11100,https://github.com/antlr/antlr4
openage,SFTtech,10700,https://github.com/SFTtech/openage
BackgroundMusic,kyleneideck,10500,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,10100,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,9800,https://github.com/compiler-explorer/compiler-explorer
Ciphey,Ciphey,9000,https://github.com/Ciphey/Ciphey
milewski-ctfp-pdf,hmemcpy,9000,https://github.com/hmemcpy/milewski-ctfp-pdf
TabNine,codota,8800,https://github.com/codota/TabNine
