Repo Name,Username,Stars,URL
scrcpy,Genymobile,58000,https://github.com/Genymobile/scrcpy
neovim,neovim,48900,https://github.com/neovim/neovim
git,git,40200,https://github.com/git/git
awesome-cpp,fffaraz,34900,https://github.com/fffaraz/awesome-cpp
obs-studio,obsproject,33500,https://github.com/obsproject/obs-studio
open-source-mac-os-apps,serhii-londar,28800,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,27100,https://github.com/FFmpeg/FFmpeg
vim,vim,25300,https://github.com/vim/vim
the_silver_searcher,ggreer,22900,https://github.com/ggreer/the_silver_searcher
curl,curl,22700,https://github.com/curl/curl
interview,huihut,21400,https://github.com/huihut/interview
ruby,ruby,18700,https://github.com/ruby/ruby
flatbuffers,google,17100,https://github.com/google/flatbuffers
mpv,mpv-player,16900,https://github.com/mpv-player/mpv
rufus,pbatard,16800,https://github.com/pbatard/rufus
srs,ossrs,16500,https://github.com/ossrs/srs
graal,oracle,16200,https://github.com/oracle/graal
radare2,radareorg,15300,https://github.com/radareorg/radare2
shadowsocks-libev,shadowsocks,14700,https://github.com/shadowsocks/shadowsocks-libev
vcpkg,microsoft,14300,https://github.com/microsoft/vcpkg
goaccess,allinurl,14000,https://github.com/allinurl/goaccess
nuklear,vurtun,13300,https://github.com/vurtun/nuklear
nnn,jarun,13000,https://github.com/jarun/nnn
kitty,kovidgoyal,12800,https://github.com/kovidgoyal/kitty
infer,facebook,12800,https://github.com/facebook/infer
Sourcetrail,CoatiSoftware,12200,https://github.com/CoatiSoftware/Sourcetrail
C,TheAlgorithms,11600,https://github.com/TheAlgorithms/C
qmk_firmware,qmk,11000,https://github.com/qmk/qmk_firmware
raspberry-pi-os,s-matyukevich,11000,https://github.com/s-matyukevich/raspberry-pi-os
hashcat,hashcat,10900,https://github.com/hashcat/hashcat
