Repo Name,Username,Stars,URL
COVID-19,CSSEGISandData,27800,https://github.com/CSSEGISandData/COVID-19
covid19india-react,covid19india,6800,https://github.com/covid19india/covid19india-react
covid-19-data,nytimes,6600,https://github.com/nytimes/covid-19-data
covid19,tokyo-metropolitan-gov,6300,https://github.com/tokyo-metropolitan-gov/covid19
covid-19-data,owid,4600,https://github.com/owid/covid-19-data
COVID-19,pcm-dpc,3900,https://github.com/pcm-dpc/COVID-19
covid-chestxray-dataset,ieee8023,2700,https://github.com/ieee8023/covid-chestxray-dataset
API,disease-sh,2300,https://github.com/disease-sh/API
corona,geohot,2100,https://github.com/geohot/corona
app,WorldHealthOrganization,2100,https://github.com/WorldHealthOrganization/app
corona-cli,ahmadawais,1800,https://github.com/ahmadawais/corona-cli
cwa-server,corona-warn-app,1800,https://github.com/corona-warn-app/cwa-server
coronavirus-tracker-api,ExpDev07,1600,https://github.com/ExpDev07/coronavirus-tracker-api
awesome-coronavirus,soroushchehresa,1500,https://github.com/soroushchehresa/awesome-coronavirus
CoronaTracker,mhdhejazi,1400,https://github.com/mhdhejazi/CoronaTracker
covid19-dashboard,github,1400,https://github.com/github/covid19-dashboard
covid19_scenarios,neherlab,1400,https://github.com/neherlab/covid19_scenarios
covid19,pomber,1200,https://github.com/pomber/covid19
covidpass,covidpass-org,1100,https://github.com/covidpass-org/covidpass
covid-19,datasets,1100,https://github.com/datasets/covid-19
coronavirus,FoldingAtHome,1100,https://github.com/FoldingAtHome/coronavirus
Face-Mask-Detection,chandrikadeb7,1100,https://github.com/chandrikadeb7/Face-Mask-Detection
tika-python,chrismattmann,1100,https://github.com/chrismattmann/tika-python
COVID-Net,lindawangg,1100,https://github.com/lindawangg/COVID-Net
ESP32-Paxcounter,cyberman54,943,https://github.com/cyberman54/ESP32-Paxcounter
covid19model,ImperialCollegeLondon,933,https://github.com/ImperialCollegeLondon/covid19model
COVID-CT,UCSD-AI4H,901,https://github.com/UCSD-AI4H/COVID-CT
coronavirus-data,nychealth,869,https://github.com/nychealth/coronavirus-data
covid19-public,MoH-Malaysia,865,https://github.com/MoH-Malaysia/covid19-public
makair,makers-for-life,754,https://github.com/makers-for-life/makair
