Repo Name,Username,Stars,URL
bypass-paywalls-chrome,iamadamdev,20400,https://github.com/iamadamdev/bypass-paywalls-chrome
refined-github,refined-github,16300,https://github.com/refined-github/refined-github
headless-recorder,checkly,13700,https://github.com/checkly/headless-recorder
codelf,unbug,12000,https://github.com/unbug/codelf
darkreader,darkreader,11800,https://github.com/darkreader/darkreader
ext-saladict,crimx,8300,https://github.com/crimx/ext-saladict
listen1_chrome_extension,listen1,7900,https://github.com/listen1/listen1_chrome_extension
dejavu,appbaseio,7600,https://github.com/appbaseio/dejavu
screenity,alyssaxuu,6200,https://github.com/alyssaxuu/screenity
simpread,Kenshin,5300,https://github.com/Kenshin/simpread
medium-unlimited,manojVivek,4400,https://github.com/manojVivek/medium-unlimited
daily,dailydotdev,4400,https://github.com/dailydotdev/daily
SingleFile,gildas-lormeau,4300,https://github.com/gildas-lormeau/SingleFile
buster,dessant,4200,https://github.com/dessant/buster
FeHelper,zxlie,3800,https://github.com/zxlie/FeHelper
altair,altair-graphql,3800,https://github.com/altair-graphql/altair
bilibili-helper-o,bilibili-helper,3700,https://github.com/bilibili-helper/bilibili-helper-o
rails_panel,dejan,3700,https://github.com/dejan/rails_panel
stylus,openstyles,3600,https://github.com/openstyles/stylus
crx-selection-translate,lmk123,3600,https://github.com/lmk123/crx-selection-translate
web-clipper,webclipper,3500,https://github.com/webclipper/web-clipper
SponsorBlock,ajayyy,3500,https://github.com/ajayyy/SponsorBlock
gmail.js,KartikTalwar,3400,https://github.com/KartikTalwar/gmail.js
Memex,WorldBrain,3300,https://github.com/WorldBrain/Memex
Reddit-Enhancement-Suite,honestbleeps,3300,https://github.com/honestbleeps/Reddit-Enhancement-Suite
pangu.js,vinta,3200,https://github.com/vinta/pangu.js
jjb,sunoj,3100,https://github.com/sunoj/jjb
extension-boilerplate,EmailThis,2900,https://github.com/EmailThis/extension-boilerplate
retire.js,RetireJS,2900,https://github.com/RetireJS/retire.js
PT-Plugin-Plus,ronggang,2700,https://github.com/ronggang/PT-Plugin-Plus
