Repo Name,Username,Stars,URL
SwiftLint,realm,15400,https://github.com/realm/SwiftLint
infer,facebook,12800,https://github.com/facebook/infer
static-analysis,analysis-tools-dev,9100,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6500,https://github.com/checkstyle/checkstyle
awesome-guidelines,Kristories,6400,https://github.com/Kristories/awesome-guidelines
sonarqube,SonarSource,6300,https://github.com/SonarSource/sonarqube
pyre-check,facebook,5700,https://github.com/facebook/pyre-check
reviewdog,reviewdog,4400,https://github.com/reviewdog/reviewdog
simplecov,simplecov-ruby,4400,https://github.com/simplecov-ruby/simplecov
detekt,detekt,4100,https://github.com/detekt/detekt
pylint,PyCQA,3700,https://github.com/PyCQA/pylint
eslint-plugin-import,import-js,3700,https://github.com/import-js/eslint-plugin-import
grumphp,phpro,3600,https://github.com/phpro/grumphp
pmd,pmd,3600,https://github.com/pmd/pmd
HTMLHint,htmlhint,2700,https://github.com/htmlhint/HTMLHint
jscpd,kucherenko,2400,https://github.com/kucherenko/jscpd
codeclimate,codeclimate,2300,https://github.com/codeclimate/codeclimate
state-of-the-art-shitcode,trekhleb,2200,https://github.com/trekhleb/state-of-the-art-shitcode
piranha,uber,1800,https://github.com/uber/piranha
wemake-python-styleguide,wemake-services,1700,https://github.com/wemake-services/wemake-python-styleguide
cross-platform-node-guide,ehmicky,1200,https://github.com/ehmicky/cross-platform-node-guide
typewiz,urish,1100,https://github.com/urish/typewiz
feflow,Tencent,1100,https://github.com/Tencent/feflow
phpqa,jakzal,953,https://github.com/jakzal/phpqa
unused,joshuaclayton,876,https://github.com/joshuaclayton/unused
Imgbot,imgbot,832,https://github.com/imgbot/Imgbot
pdepend,pdepend,774,https://github.com/pdepend/pdepend
SonarTS,SonarSource,772,https://github.com/SonarSource/SonarTS
SonarJS,SonarSource,765,https://github.com/SonarSource/SonarJS
android-guidelines,bufferapp,758,https://github.com/bufferapp/android-guidelines
