Repo Name,Username,Stars,URL
ohmyzsh,ohmyzsh,137000,https://github.com/ohmyzsh/ohmyzsh
httpie,httpie,52900,https://github.com/httpie/httpie
fzf,junegunn,40600,https://github.com/junegunn/fzf
bat,sharkdp,30500,https://github.com/sharkdp/bat
dive,wagoodman,28600,https://github.com/wagoodman/dive
sherlock,sherlock-project,28300,https://github.com/sherlock-project/sherlock
ripgrep,BurntSushi,28300,https://github.com/BurntSushi/ripgrep
cheat.sh,chubin,27700,https://github.com/chubin/cheat.sh
cli,cli,26400,https://github.com/cli/cli
angular-cli,angular,25100,https://github.com/angular/angular-cli
cobra,spf13,24100,https://github.com/spf13/cobra
lazygit,jesseduffield,22500,https://github.com/jesseduffield/lazygit
awesome-shell,alebcay,22500,https://github.com/alebcay/awesome-shell
python-fire,google,20500,https://github.com/google/python-fire
tqdm,tqdm,20200,https://github.com/tqdm/tqdm
fd,sharkdp,19600,https://github.com/sharkdp/fd
ava,avajs,19400,https://github.com/avajs/ava
pkg,vercel,19200,https://github.com/vercel/pkg
n8n,n8n-io,19000,https://github.com/n8n-io/n8n
modern-unix,ibraheemdev,18000,https://github.com/ibraheemdev/modern-unix
chalk,chalk,17400,https://github.com/chalk/chalk
ink,vadimdemedes,17300,https://github.com/vadimdemedes/ink
svgo,svg,17000,https://github.com/svg/svgo
cli,urfave,16900,https://github.com/urfave/cli
.tmux,gpakosz,15400,https://github.com/gpakosz/.tmux
goaccess,allinurl,14000,https://github.com/allinurl/goaccess
webpack-dashboard,FormidableLabs,13800,https://github.com/FormidableLabs/webpack-dashboard
ignite,infinitered,13200,https://github.com/infinitered/ignite
nnn,jarun,13000,https://github.com/jarun/nnn
git-history,pomber,12700,https://github.com/pomber/git-history
