Repo Name,Username,Stars,URL
next.js,vercel,77400,https://github.com/vercel/next.js
rust,rust-lang,60800,https://github.com/rust-lang/rust
webpack,webpack,59900,https://github.com/webpack/webpack
svelte,sveltejs,53200,https://github.com/sveltejs/svelte
gatsby,gatsbyjs,51800,https://github.com/gatsbyjs/gatsby
babel,babel,40000,https://github.com/babel/babel
parcel,parcel-bundler,39500,https://github.com/parcel-bundler/parcel
kotlin,JetBrains,39400,https://github.com/JetBrains/kotlin
esbuild,evanw,29000,https://github.com/evanw/esbuild
marked,markedjs,26400,https://github.com/markedjs/marked
v,vlang,26000,https://github.com/vlang/v
pkg,vercel,19200,https://github.com/vercel/pkg
v8,v8,18700,https://github.com/v8/v8
swc,swc-project,18100,https://github.com/swc-project/swc
assemblyscript,AssemblyScript,13000,https://github.com/AssemblyScript/assemblyscript
bytecode-viewer,Konloch,12600,https://github.com/Konloch/bytecode-viewer
Nim,nim-lang,12200,https://github.com/nim-lang/Nim
zig,ziglang,11300,https://github.com/ziglang/zig
gopherjs,gopherjs,10700,https://github.com/gopherjs/gopherjs
RustPython,RustPython,9800,https://github.com/RustPython/RustPython
compiler-explorer,compiler-explorer,9800,https://github.com/compiler-explorer/compiler-explorer
tvm,apache,7400,https://github.com/apache/tvm
kotlin-native,JetBrains,7100,https://github.com/JetBrains/kotlin-native
numba,numba,7000,https://github.com/numba/numba
compiler,elm,6700,https://github.com/elm/compiler
awesome-compilers,aalhour,6400,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,6100,https://github.com/Nuitka/Nuitka
acwj,DoctorWkt,5800,https://github.com/DoctorWkt/acwj
rescript-compiler,rescript-lang,5600,https://github.com/rescript-lang/rescript-compiler
lebab,lebab,5500,https://github.com/lebab/lebab
