Repo Name,Username,Stars,URL
three.js,mrdoob,76400,https://www.github.com/mrdoob/three.js
libgdx,libgdx,19300,https://www.github.com/libgdx/libgdx
react-three-fiber,pmndrs,15900,https://www.github.com/pmndrs/react-three-fiber
Babylon.js,BabylonJS,15300,https://www.github.com/BabylonJS/Babylon.js
aframe,aframevr,13300,https://www.github.com/aframevr/aframe
tinyrenderer,ssloy,11700,https://www.github.com/ssloy/tinyrenderer
3d-game-shaders-for-beginners,lettier,11600,https://www.github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,10300,https://www.github.com/FreeCAD/FreeCAD
zdog,metafizzy,8900,https://www.github.com/metafizzy/zdog
cesium,CesiumGS,8000,https://www.github.com/CesiumGS/cesium
3D-Machine-Learning,timzhang642,7300,https://www.github.com/timzhang642/3D-Machine-Learning
SpaceshipGenerator,a1studmuffin,7000,https://www.github.com/a1studmuffin/SpaceshipGenerator
Open3D,isl-org,5800,https://www.github.com/isl-org/Open3D
spritejs,spritejs,4700,https://www.github.com/spritejs/spritejs
BlenderGIS,domlysz,4600,https://www.github.com/domlysz/BlenderGIS
tensorspace,tensorspace-team,4500,https://www.github.com/tensorspace-team/tensorspace
webglstudio.js,jagenjo,4500,https://www.github.com/jagenjo/webglstudio.js
PRNet,YadiraF,4500,https://www.github.com/YadiraF/PRNet
openscad,openscad,4400,https://www.github.com/openscad/openscad
vrn,AaronJackson,4400,https://www.github.com/AaronJackson/vrn
tinyraytracer,ssloy,4000,https://www.github.com/ssloy/tinyraytracer
blender,blender,3900,https://www.github.com/blender/blender
magnum,mosra,3700,https://www.github.com/mosra/magnum
model-viewer,google,3700,https://www.github.com/google/model-viewer
webgl-fundamentals,gfxfundamentals,3300,https://www.github.com/gfxfundamentals/webgl-fundamentals
3DDFA,cleardusk,3100,https://www.github.com/cleardusk/3DDFA
isometric-contributions,jasonlong,3100,https://www.github.com/jasonlong/isometric-contributions
rg3d,rg3dengine,2900,https://www.github.com/rg3dengine/rg3d
meshlab,cnr-isti-vclab,2600,https://www.github.com/cnr-isti-vclab/meshlab
L7,antvis,2500,https://www.github.com/antvis/L7
