Repo Name,Username,Stars,URL
aspnetboilerplate,aspnetboilerplate,10000,https://www.github.com/aspnetboilerplate/aspnetboilerplate
AspNetCore.Docs,dotnet,9900,https://www.github.com/dotnet/AspNetCore.Docs
server,bitwarden,8700,https://www.github.com/bitwarden/server
nopCommerce,nopSolutions,6800,https://www.github.com/nopSolutions/nopCommerce
Electron.NET,ElectronNET,6100,https://www.github.com/ElectronNET/Electron.NET
NSwag,RicoSuter,4800,https://www.github.com/RicoSuter/NSwag
clean-code-dotnet,thangchung,4400,https://www.github.com/thangchung/clean-code-dotnet
ImageProcessor,JimBobSquarePants,2500,https://www.github.com/JimBobSquarePants/ImageProcessor
SmartStoreNET,smartstore,2400,https://www.github.com/smartstore/SmartStoreNET
aspnet-api-versioning,dotnet,2100,https://www.github.com/dotnet/aspnet-api-versioning
BaGet,loic-sharma,1800,https://www.github.com/loic-sharma/BaGet
Awesome-Microservices-NetCore,mjebrahimi,1500,https://www.github.com/mjebrahimi/Awesome-Microservices-NetCore
aspnetcore-angular-universal,TrilonIO,1500,https://www.github.com/TrilonIO/aspnetcore-angular-universal
aspnetcore-Vue-starter,TrilonIO,1200,https://www.github.com/TrilonIO/aspnetcore-Vue-starter
DncZeus,lampo1024,1200,https://www.github.com/lampo1024/DncZeus
csla,MarimerLLC,958,https://www.github.com/MarimerLLC/csla
dotvvm,riganti,580,https://www.github.com/riganti/dotvvm
aspnet-core-3-jwt-authentication-api,cornflourblue,569,https://www.github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
SharPyShell,antonioCoco,496,https://www.github.com/antonioCoco/SharPyShell
mvcarchitecture,chsakell,447,https://www.github.com/chsakell/mvcarchitecture
Gofer.NET,brthor,420,https://www.github.com/brthor/Gofer.NET
YAFNET,YAFNET,413,https://www.github.com/YAFNET/YAFNET
rrod,Maarten88,377,https://www.github.com/Maarten88/rrod
SapphireDb,SapphireDb,363,https://www.github.com/SapphireDb/SapphireDb
BlazorTable,IvanJosipovic,354,https://www.github.com/IvanJosipovic/BlazorTable
WebMarkupMin,Taritsyn,340,https://www.github.com/Taritsyn/WebMarkupMin
aspnet-core-identity,chsakell,309,https://www.github.com/chsakell/aspnet-core-identity
aspnetcore-vueclimiddleware,EEParker,304,https://www.github.com/EEParker/aspnetcore-vueclimiddleware
datatables.aspnet,ALMMa,284,https://www.github.com/ALMMa/datatables.aspnet
aspnet-core-jwt-authentication-api,cornflourblue,275,https://www.github.com/cornflourblue/aspnet-core-jwt-authentication-api
