Repo Name,Username,Stars,URL
coding-interview-university,jwasham,199000,https://www.github.com/jwasham/coding-interview-university
CS-Notes,CyC2018,142000,https://www.github.com/CyC2018/CS-Notes
javascript-algorithms,trekhleb,127000,https://www.github.com/trekhleb/javascript-algorithms
Python,TheAlgorithms,124000,https://www.github.com/TheAlgorithms/Python
tech-interview-handbook,yangshun,61500,https://www.github.com/yangshun/tech-interview-handbook
interviews,kdn251,54700,https://www.github.com/kdn251/interviews
leetcode,azl397985856,45400,https://www.github.com/azl397985856/leetcode
Java,TheAlgorithms,42600,https://www.github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,35900,https://www.github.com/algorithm-visualizer/algorithm-visualizer
JCSprout,crossoverJie,26500,https://www.github.com/crossoverJie/JCSprout
interactive-coding-challenges,donnemartin,24200,https://www.github.com/donnemartin/interactive-coding-challenges
LeetCode-Go,halfrost,22000,https://www.github.com/halfrost/LeetCode-Go
interview,huihut,21400,https://www.github.com/huihut/interview
algorithms,keon,20100,https://www.github.com/keon/algorithms
leetcode-master,youngyangyang04,18700,https://www.github.com/youngyangyang04/leetcode-master
homemade-machine-learning,trekhleb,18600,https://www.github.com/trekhleb/homemade-machine-learning
WaveFunctionCollapse,mxgmn,17100,https://www.github.com/mxgmn/WaveFunctionCollapse
C-Plus-Plus,TheAlgorithms,16900,https://www.github.com/TheAlgorithms/C-Plus-Plus
Javascript,TheAlgorithms,16000,https://www.github.com/TheAlgorithms/Javascript
PythonRobotics,AtsushiSakai,13800,https://www.github.com/AtsushiSakai/PythonRobotics
cosmos,OpenGenus,12900,https://www.github.com/OpenGenus/cosmos
algorithm-pattern,greyireland,12900,https://www.github.com/greyireland/algorithm-pattern
Algorithms,williamfiset,11400,https://www.github.com/williamfiset/Algorithms
apachecn-algo-zh,apachecn,10500,https://www.github.com/apachecn/apachecn-algo-zh
Halfrost-Field,halfrost,10300,https://www.github.com/halfrost/Halfrost-Field
awesome-competitive-programming,lnishan,9100,https://www.github.com/lnishan/awesome-competitive-programming
awesome-java-leetcode,Blankj,8300,https://www.github.com/Blankj/awesome-java-leetcode
algorithms,jeffgerickson,7400,https://www.github.com/jeffgerickson/algorithms
vscode-leetcode,LeetCode-OpenSource,6900,https://www.github.com/LeetCode-OpenSource/vscode-leetcode
javascript-algorithms,mgechev,6900,https://www.github.com/mgechev/javascript-algorithms
