Repo Name,Username,Stars,URL
flutter,flutter,133000,https://www.github.com/flutter/flutter
free-programming-books-zh_CN,justjavac,84600,https://www.github.com/justjavac/free-programming-books-zh_CN
scrcpy,Genymobile,58100,https://www.github.com/Genymobile/scrcpy
Awesome-Hacking,Hack-with-Github,47800,https://www.github.com/Hack-with-Github/Awesome-Hacking
material-design-icons,google,44400,https://www.github.com/google/material-design-icons
awesome-android-ui,wasabeef,41700,https://www.github.com/wasabeef/awesome-android-ui
okhttp,square,41200,https://www.github.com/square/okhttp
architecture-samples,android,39800,https://www.github.com/android/architecture-samples
retrofit,square,39100,https://www.github.com/square/retrofit
awesome-flutter,Solido,38300,https://www.github.com/Solido/awesome-flutter
MPAndroidChart,PhilJay,34300,https://www.github.com/PhilJay/MPAndroidChart
fastlane,fastlane,33300,https://www.github.com/fastlane/fastlane
lottie-android,airbnb,32100,https://www.github.com/airbnb/lottie-android
shadowsocks-android,shadowsocks,32100,https://www.github.com/shadowsocks/shadowsocks-android
glide,bumptech,32000,https://www.github.com/bumptech/glide
android-open-project,Trinea,30800,https://www.github.com/Trinea/android-open-project
AndroidUtilCode,Blankj,30100,https://www.github.com/Blankj/AndroidUtilCode
gold-miner,xitu,29800,https://www.github.com/xitu/gold-miner
ijkplayer,bilibili,29700,https://www.github.com/bilibili/ijkplayer
zxing,zxing,28700,https://www.github.com/zxing/zxing
jadx,skylot,27900,https://www.github.com/skylot/jadx
android_guides,codepath,27600,https://www.github.com/codepath/android_guides
leakcanary,square,27000,https://www.github.com/square/leakcanary
joplin,laurent22,26600,https://www.github.com/laurent22/joplin
fastjson,alibaba,24000,https://www.github.com/alibaba/fastjson
SmartRefreshLayout,scwang90,23100,https://www.github.com/scwang90/SmartRefreshLayout
BaseRecyclerViewAdapterHelper,CymChad,22500,https://www.github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,21700,https://www.github.com/react-native-elements/react-native-elements
iosched,google,20900,https://www.github.com/google/iosched
NativeScript,NativeScript,20700,https://www.github.com/NativeScript/NativeScript
