Repo Name,Username,Stars,URL
awesome,sindresorhus,177000,https://www.github.com/sindresorhus/awesome
awesome-python,vinta,108000,https://www.github.com/vinta/awesome-python
awesome-go,avelino,71400,https://www.github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,68800,https://www.github.com/awesome-selfhosted/awesome-selfhosted
the-book-of-secret-knowledge,trimstray,54100,https://www.github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,50400,https://www.github.com/papers-we-love/papers-we-love
HelloGitHub,521xueweihan,48800,https://www.github.com/521xueweihan/HelloGitHub
Awesome-Hacking,Hack-with-Github,47800,https://www.github.com/Hack-with-Github/Awesome-Hacking
awesome-mac,jaywcjlove,46400,https://www.github.com/jaywcjlove/awesome-mac
awesome-interview-questions,DopplerHQ,44200,https://www.github.com/DopplerHQ/awesome-interview-questions
awesome-nodejs,sindresorhus,43100,https://www.github.com/sindresorhus/awesome-nodejs
awesome-android-ui,wasabeef,41700,https://www.github.com/wasabeef/awesome-android-ui
awesome-ios,vsouza,38600,https://www.github.com/vsouza/awesome-ios
awesome-courses,prakhar1989,38600,https://www.github.com/prakhar1989/awesome-courses
awesome-flutter,Solido,38300,https://www.github.com/Solido/awesome-flutter
awesome-for-beginners,MunGell,36800,https://www.github.com/MunGell/awesome-for-beginners
awesome-scalability,binhnguyennus,36500,https://www.github.com/binhnguyennus/awesome-scalability
awesome-cpp,fffaraz,34900,https://www.github.com/fffaraz/awesome-cpp
github-cheat-sheet,tiimgreen,33500,https://www.github.com/tiimgreen/github-cheat-sheet
frontend-dev-bookmarks,dypsilon,32900,https://www.github.com/dypsilon/frontend-dev-bookmarks
awesome-java,akullpp,30700,https://www.github.com/akullpp/awesome-java
open-source-mac-os-apps,serhii-londar,28800,https://www.github.com/serhii-londar/open-source-mac-os-apps
open-source-ios-apps,dkhamsing,28700,https://www.github.com/dkhamsing/open-source-ios-apps
awesome-react-components,brillout,28500,https://www.github.com/brillout/awesome-react-components
awesome-php,ziadoz,26000,https://www.github.com/ziadoz/awesome-php
awesome-macos-command-line,herrbischoff,25600,https://www.github.com/herrbischoff/awesome-macos-command-line
Awesome-Design-Tools,goabstract,23700,https://www.github.com/goabstract/Awesome-Design-Tools
awesome-rust,rust-unofficial,22900,https://www.github.com/rust-unofficial/awesome-rust
awesome-shell,alebcay,22500,https://www.github.com/alebcay/awesome-shell
awesome-electron,sindresorhus,22200,https://www.github.com/sindresorhus/awesome-electron
