Repo Name,Username,Stars,URL
devops-exercises,bregman-arie,19600,https://www.github.com/bregman-arie/devops-exercises
awesome-kubernetes,ramitsurana,12300,https://www.github.com/ramitsurana/awesome-kubernetes
recommenders,microsoft,11700,https://www.github.com/microsoft/recommenders
azure-quickstart-templates,Azure,11100,https://www.github.com/Azure/azure-quickstart-templates
pulumi,pulumi,10700,https://www.github.com/pulumi/pulumi
sops,mozilla,8700,https://www.github.com/mozilla/sops
computervision-recipes,microsoft,8200,https://www.github.com/microsoft/computervision-recipes
go-cloud,google,8100,https://www.github.com/google/go-cloud
caprover,caprover,7900,https://www.github.com/caprover/caprover
azuredatastudio,microsoft,6600,https://www.github.com/microsoft/azuredatastudio
formidable,node-formidable,6100,https://www.github.com/node-formidable/formidable
midway,midwayjs,5000,https://www.github.com/midwayjs/midway
infracost,infracost,4400,https://www.github.com/infracost/infracost
clean-code-dotnet,thangchung,4400,https://www.github.com/thangchung/clean-code-dotnet
docker-android,budtmo,4000,https://www.github.com/budtmo/docker-android
cloud-custodian,cloud-custodian,3900,https://www.github.com/cloud-custodian/cloud-custodian
ScoutSuite,nccgroup,3700,https://www.github.com/nccgroup/ScoutSuite
autorest,Azure,3600,https://www.github.com/Azure/autorest
tfsec,aquasecurity,3500,https://www.github.com/aquasecurity/tfsec
grant,simov,3500,https://www.github.com/simov/grant
checkov,bridgecrewio,3500,https://www.github.com/bridgecrewio/checkov
engine,Qovery,3400,https://www.github.com/Qovery/engine
azure-sdk-for-net,Azure,3000,https://www.github.com/Azure/azure-sdk-for-net
terraform-provider-azurerm,hashicorp,3000,https://www.github.com/hashicorp/terraform-provider-azurerm
azure-powershell,Azure,2800,https://www.github.com/Azure/azure-powershell
azure-cli,Azure,2800,https://www.github.com/Azure/azure-cli
SynapseML,microsoft,2800,https://www.github.com/microsoft/SynapseML
MachineLearningNotebooks,Azure,2800,https://www.github.com/Azure/MachineLearningNotebooks
komiser,mlabouardy,2700,https://www.github.com/mlabouardy/komiser
openapi-directory,APIs-guru,2600,https://www.github.com/APIs-guru/openapi-directory
