Repo Name,Username,Stars,URL
the-art-of-command-line,jlevy,99100,https://www.github.com/jlevy/the-art-of-command-line
nvm,nvm-sh,53500,https://www.github.com/nvm-sh/nvm
fzf,junegunn,40600,https://www.github.com/junegunn/fzf
pure-bash-bible,dylanaraps,28000,https://www.github.com/dylanaraps/pure-bash-bible
dotfiles,mathiasbynens,27200,https://www.github.com/mathiasbynens/dotfiles
shellcheck,koalaman,27000,https://www.github.com/koalaman/shellcheck
awesome-cheatsheets,LeCoupa,25800,https://www.github.com/LeCoupa/awesome-cheatsheets
acme.sh,acmesh-official,24500,https://www.github.com/acmesh-official/acme.sh
awesome-shell,alebcay,22500,https://www.github.com/alebcay/awesome-shell
starship,starship,20100,https://www.github.com/starship/starship
linux-command,jaywcjlove,17300,https://www.github.com/jaywcjlove/linux-command
openvpn-install,Nyr,14100,https://www.github.com/Nyr/openvpn-install
rbenv,rbenv,13800,https://www.github.com/rbenv/rbenv
neofetch,dylanaraps,13600,https://www.github.com/dylanaraps/neofetch
powerline,powerline,13000,https://www.github.com/powerline/powerline
shelljs,shelljs,12900,https://www.github.com/shelljs/shelljs
bash-it,Bash-it,12600,https://www.github.com/Bash-it/bash-it
dockerfiles,jessfraz,12200,https://www.github.com/jessfraz/dockerfiles
terminalizer,faressoft,12100,https://www.github.com/faressoft/terminalizer
navi,denisidoro,10000,https://www.github.com/denisidoro/navi
TabNine,codota,8800,https://www.github.com/codota/TabNine
m-cli,rgcr,8600,https://www.github.com/rgcr/m-cli
Bash-Snippets,alexanderepstein,8500,https://www.github.com/alexanderepstein/Bash-Snippets
mal,kanaka,8300,https://www.github.com/kanaka/mal
direnv,direnv,8100,https://www.github.com/direnv/direnv
autocomplete,withfig,8000,https://www.github.com/withfig/autocomplete
awesome-cheatsheets,skywind3000,7800,https://www.github.com/skywind3000/awesome-cheatsheets
openvpn-install,angristan,7100,https://www.github.com/angristan/openvpn-install
PEASS-ng,carlospolop,7000,https://www.github.com/carlospolop/PEASS-ng
gitui,extrawurst,6500,https://www.github.com/extrawurst/gitui
