Repo Name,Username,Stars,URL
bitcoin,bitcoin,59600,https://www.github.com/bitcoin/bitcoin
ccxt,ccxt,22200,https://www.github.com/ccxt/ccxt
ZeroNet,HelloZeroNet,17200,https://www.github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,13800,https://www.github.com/freqtrade/freqtrade
gekko,askmike,9800,https://www.github.com/askmike/gekko
abu,bbfamily,8500,https://www.github.com/bbfamily/abu
lbry-sdk,lbryio,7200,https://www.github.com/lbryio/lbry-sdk
blockchain,dvf,6400,https://www.github.com/dvf/blockchain
blockchain_guide,yeasy,5900,https://www.github.com/yeasy/blockchain_guide
solana,solana-labs,5800,https://www.github.com/solana-labs/solana
lnd,lightningnetwork,5600,https://www.github.com/lightningnetwork/lnd
blackbird,butor,5400,https://www.github.com/butor/blackbird
electrum,spesmilo,5300,https://www.github.com/spesmilo/electrum
btcd,btcsuite,4600,https://www.github.com/btcsuite/btcd
bitcoinjs-lib,bitcoinjs,4400,https://www.github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4100,https://www.github.com/bitcoinj/bitcoinj
bisq,bisq-network,3800,https://www.github.com/bisq-network/bisq
tribeca,michaelgrosner,3600,https://www.github.com/michaelgrosner/tribeca
Crypto-Signal,CryptoSignal,3600,https://www.github.com/CryptoSignal/Crypto-Signal
EthList,Scanate,3600,https://www.github.com/Scanate/EthList
alpha_vantage,RomelTorres,3500,https://www.github.com/RomelTorres/alpha_vantage
awesome-coins,Zheaoli,3500,https://www.github.com/Zheaoli/awesome-coins
CryptoList,coinpride,3400,https://www.github.com/coinpride/CryptoList
wallet,bitpay,3400,https://www.github.com/bitpay/wallet
jesse,jesse-ai,3300,https://www.github.com/jesse-ai/jesse
squeezer,SqueezerIO,3200,https://www.github.com/SqueezerIO/squeezer
blockchain_go,Jeiwan,3100,https://www.github.com/Jeiwan/blockchain_go
btcpayserver,btcpayserver,3100,https://www.github.com/btcpayserver/btcpayserver
cointop,cointop-sh,2800,https://www.github.com/cointop-sh/cointop
lbrycrd,lbryio,2800,https://www.github.com/lbryio/lbrycrd
