Repo Name,Username,Stars,URL
CS-Notes,CyC2018,142000,https://www.github.com/CyC2018/CS-Notes
project-based-learning,practical-tutorials,59600,https://www.github.com/practical-tutorials/project-based-learning
leetcode,azl397985856,45400,https://www.github.com/azl397985856/leetcode
x64dbg,x64dbg,37700,https://www.github.com/x64dbg/x64dbg
awesome-cpp,fffaraz,34900,https://www.github.com/fffaraz/awesome-cpp
calculator,microsoft,23200,https://www.github.com/microsoft/calculator
openpose,CMU-Perceptual-Computing-Lab,22700,https://www.github.com/CMU-Perceptual-Computing-Lab/openpose
interview,huihut,21400,https://www.github.com/huihut/interview
leetcode-master,youngyangyang04,18700,https://www.github.com/youngyangyang04/leetcode-master
yuzu,yuzu-emu,17100,https://www.github.com/yuzu-emu/yuzu
C-Plus-Plus,TheAlgorithms,16900,https://www.github.com/TheAlgorithms/C-Plus-Plus
modern-cpp-tutorial,changkun,15700,https://www.github.com/changkun/modern-cpp-tutorial
vcpkg,microsoft,14300,https://www.github.com/microsoft/vcpkg
Catch2,catchorg,14300,https://www.github.com/catchorg/Catch2
solidity,ethereum,13300,https://www.github.com/ethereum/solidity
spdlog,gabime,13200,https://www.github.com/gabime/spdlog
modern-cpp-features,AnthonyCalandra,13000,https://www.github.com/AnthonyCalandra/modern-cpp-features
Qv2ray,Qv2ray,12800,https://www.github.com/Qv2ray/Qv2ray
infer,facebook,12800,https://www.github.com/facebook/infer
Sourcetrail,CoatiSoftware,12200,https://www.github.com/CoatiSoftware/Sourcetrail
tink,google,11800,https://www.github.com/google/tink
tinyrenderer,ssloy,11700,https://www.github.com/ssloy/tinyrenderer
antlr4,antlr,11100,https://www.github.com/antlr/antlr4
openage,SFTtech,10700,https://www.github.com/SFTtech/openage
BackgroundMusic,kyleneideck,10500,https://www.github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,10100,https://www.github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,9800,https://www.github.com/compiler-explorer/compiler-explorer
Ciphey,Ciphey,9000,https://www.github.com/Ciphey/Ciphey
milewski-ctfp-pdf,hmemcpy,9000,https://www.github.com/hmemcpy/milewski-ctfp-pdf
TabNine,codota,8800,https://www.github.com/codota/TabNine
