Repo Name,Username,Stars,URL
scrcpy,Genymobile,58100,https://www.github.com/Genymobile/scrcpy
neovim,neovim,48900,https://www.github.com/neovim/neovim
git,git,40300,https://www.github.com/git/git
awesome-cpp,fffaraz,34900,https://www.github.com/fffaraz/awesome-cpp
obs-studio,obsproject,33500,https://www.github.com/obsproject/obs-studio
open-source-mac-os-apps,serhii-londar,28800,https://www.github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,27100,https://www.github.com/FFmpeg/FFmpeg
vim,vim,25400,https://www.github.com/vim/vim
the_silver_searcher,ggreer,22900,https://www.github.com/ggreer/the_silver_searcher
curl,curl,22700,https://www.github.com/curl/curl
interview,huihut,21400,https://www.github.com/huihut/interview
ruby,ruby,18700,https://www.github.com/ruby/ruby
flatbuffers,google,17100,https://www.github.com/google/flatbuffers
mpv,mpv-player,16900,https://www.github.com/mpv-player/mpv
rufus,pbatard,16800,https://www.github.com/pbatard/rufus
srs,ossrs,16500,https://www.github.com/ossrs/srs
graal,oracle,16200,https://www.github.com/oracle/graal
radare2,radareorg,15300,https://www.github.com/radareorg/radare2
shadowsocks-libev,shadowsocks,14700,https://www.github.com/shadowsocks/shadowsocks-libev
vcpkg,microsoft,14300,https://www.github.com/microsoft/vcpkg
goaccess,allinurl,14000,https://www.github.com/allinurl/goaccess
nuklear,vurtun,13300,https://www.github.com/vurtun/nuklear
nnn,jarun,13000,https://www.github.com/jarun/nnn
kitty,kovidgoyal,12800,https://www.github.com/kovidgoyal/kitty
infer,facebook,12800,https://www.github.com/facebook/infer
Sourcetrail,CoatiSoftware,12200,https://www.github.com/CoatiSoftware/Sourcetrail
C,TheAlgorithms,11700,https://www.github.com/TheAlgorithms/C
qmk_firmware,qmk,11000,https://www.github.com/qmk/qmk_firmware
raspberry-pi-os,s-matyukevich,11000,https://www.github.com/s-matyukevich/raspberry-pi-os
hashcat,hashcat,10900,https://www.github.com/hashcat/hashcat
