Repo Name,Username,Stars,URL
bypass-paywalls-chrome,iamadamdev,20400,https://www.github.com/iamadamdev/bypass-paywalls-chrome
refined-github,refined-github,16300,https://www.github.com/refined-github/refined-github
headless-recorder,checkly,13700,https://www.github.com/checkly/headless-recorder
codelf,unbug,12000,https://www.github.com/unbug/codelf
darkreader,darkreader,11800,https://www.github.com/darkreader/darkreader
ext-saladict,crimx,8300,https://www.github.com/crimx/ext-saladict
listen1_chrome_extension,listen1,7900,https://www.github.com/listen1/listen1_chrome_extension
dejavu,appbaseio,7600,https://www.github.com/appbaseio/dejavu
screenity,alyssaxuu,6200,https://www.github.com/alyssaxuu/screenity
simpread,Kenshin,5300,https://www.github.com/Kenshin/simpread
medium-unlimited,manojVivek,4400,https://www.github.com/manojVivek/medium-unlimited
daily,dailydotdev,4400,https://www.github.com/dailydotdev/daily
SingleFile,gildas-lormeau,4300,https://www.github.com/gildas-lormeau/SingleFile
buster,dessant,4200,https://www.github.com/dessant/buster
FeHelper,zxlie,3800,https://www.github.com/zxlie/FeHelper
altair,altair-graphql,3800,https://www.github.com/altair-graphql/altair
bilibili-helper-o,bilibili-helper,3700,https://www.github.com/bilibili-helper/bilibili-helper-o
rails_panel,dejan,3700,https://www.github.com/dejan/rails_panel
stylus,openstyles,3600,https://www.github.com/openstyles/stylus
crx-selection-translate,lmk123,3600,https://www.github.com/lmk123/crx-selection-translate
web-clipper,webclipper,3600,https://www.github.com/webclipper/web-clipper
SponsorBlock,ajayyy,3500,https://www.github.com/ajayyy/SponsorBlock
gmail.js,KartikTalwar,3400,https://www.github.com/KartikTalwar/gmail.js
Memex,WorldBrain,3300,https://www.github.com/WorldBrain/Memex
Reddit-Enhancement-Suite,honestbleeps,3300,https://www.github.com/honestbleeps/Reddit-Enhancement-Suite
pangu.js,vinta,3200,https://www.github.com/vinta/pangu.js
jjb,sunoj,3100,https://www.github.com/sunoj/jjb
extension-boilerplate,EmailThis,2900,https://www.github.com/EmailThis/extension-boilerplate
retire.js,RetireJS,2900,https://www.github.com/RetireJS/retire.js
PT-Plugin-Plus,ronggang,2700,https://www.github.com/ronggang/PT-Plugin-Plus
