Repo Name,Username,Stars,URL
metabase,metabase,26600,https://www.github.com/metabase/metabase
deeplearning4j,eclipse,12300,https://www.github.com/eclipse/deeplearning4j
LightTable,LightTable,11700,https://www.github.com/LightTable/LightTable
mal,kanaka,8300,https://www.github.com/kanaka/mal
awesomo,lk-geimfari,8200,https://www.github.com/lk-geimfari/awesomo
logseq,logseq,7700,https://www.github.com/logseq/logseq
penpot,penpot,6100,https://www.github.com/penpot/penpot
datascript,tonsky,4400,https://www.github.com/tonsky/datascript
reagent,reagent-project,4300,https://www.github.com/reagent-project/reagent
riemann,riemann,4100,https://www.github.com/riemann/riemann
compojure,weavejester,3900,https://www.github.com/weavejester/compojure
clojure-style-guide,bbatsov,3700,https://www.github.com/bbatsov/clojure-style-guide
intellij-rainbow-brackets,izhangzhihao,3700,https://www.github.com/izhangzhihao/intellij-rainbow-brackets
ring,ring-clojure,3400,https://www.github.com/ring-clojure/ring
status-react,status-im,3300,https://www.github.com/status-im/status-react
cider,clojure-emacs,3200,https://www.github.com/clojure-emacs/cider
lein-figwheel,bhauman,2900,https://www.github.com/bhauman/lein-figwheel
Rich-Hickey-fanclub,tallesl,2800,https://www.github.com/tallesl/Rich-Hickey-fanclub
klipse,viebel,2800,https://www.github.com/viebel/klipse
beakerx,twosigma,2600,https://www.github.com/twosigma/beakerx
pedestal,pedestal,2400,https://www.github.com/pedestal/pedestal
babashka,babashka,2400,https://www.github.com/babashka/babashka
aleph,clj-commons,2400,https://www.github.com/clj-commons/aleph
hiccup,weavejester,2300,https://www.github.com/weavejester/hiccup
awesome-clojure,razum2um,2300,https://www.github.com/razum2um/awesome-clojure
http-kit,http-kit,2200,https://www.github.com/http-kit/http-kit
onyx,onyx-platform,2000,https://www.github.com/onyx-platform/onyx
defold,defold,1900,https://www.github.com/defold/defold
lumo,anmonteiro,1900,https://www.github.com/anmonteiro/lumo
boot,boot-clj,1700,https://www.github.com/boot-clj/boot
