Repo Name,Username,Stars,URL
octotree,ovity,21700,https://www.github.com/ovity/octotree
gitpod,gitpod-io,6000,https://www.github.com/gitpod-io/gitpod
danger,danger,4700,https://www.github.com/danger/danger
reviewdog,reviewdog,4400,https://www.github.com/reviewdog/reviewdog
danger-js,danger,4000,https://www.github.com/danger/danger-js
awesome-code-review,joho,3200,https://www.github.com/joho/awesome-code-review
hound,houndci,1900,https://www.github.com/houndci/hound
nodejsscan,ajinabraham,1900,https://www.github.com/ajinabraham/nodejsscan
mutant,mbj,1800,https://www.github.com/mbj/mutant
vscode-pull-request-github,microsoft,1800,https://www.github.com/microsoft/vscode-pull-request-github
cargo-crev,crev-dev,1500,https://www.github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://www.github.com/reviewboard/reviewboard
code-review-tips,ryanmcdermott,1000,https://www.github.com/ryanmcdermott/code-review-tips
python_sec,bit4woo,1000,https://www.github.com/bit4woo/python_sec
java-concurrency,code-review-checklists,971,https://www.github.com/code-review-checklists/java-concurrency
Audit-Learning,jiangsir404,815,https://www.github.com/jiangsir404/Audit-Learning
codestream,TeamCodeStream,695,https://www.github.com/TeamCodeStream/codestream
enlightn,enlightn,574,https://www.github.com/enlightn/enlightn
policy-bot,palantir,429,https://www.github.com/palantir/policy-bot
gerrit-intellij-plugin,uwolfer,428,https://www.github.com/uwolfer/gerrit-intellij-plugin
cpp-project,bsamseth,425,https://www.github.com/bsamseth/cpp-project
diffr,mookid,389,https://www.github.com/mookid/diffr
code-review-checklist,mgreiler,347,https://www.github.com/mgreiler/code-review-checklist
static-review,sjparkinson,327,https://www.github.com/sjparkinson/static-review
raptor,dpnishant,324,https://www.github.com/dpnishant/raptor
shiba,burrito-brothers,286,https://www.github.com/burrito-brothers/shiba
github-review,charignon,266,https://www.github.com/charignon/github-review
code-review,wandersoncferreira,156,https://www.github.com/wandersoncferreira/code-review
lookout,src-d,143,https://www.github.com/src-d/lookout
gerrit-rest-java-client,uwolfer,140,https://www.github.com/uwolfer/gerrit-rest-java-client
