Repo Name,Username,Stars,URL
ohmyzsh,ohmyzsh,137000,https://www.github.com/ohmyzsh/ohmyzsh
httpie,httpie,52900,https://www.github.com/httpie/httpie
fzf,junegunn,40600,https://www.github.com/junegunn/fzf
bat,sharkdp,30500,https://www.github.com/sharkdp/bat
dive,wagoodman,28700,https://www.github.com/wagoodman/dive
sherlock,sherlock-project,28300,https://www.github.com/sherlock-project/sherlock
ripgrep,BurntSushi,28300,https://www.github.com/BurntSushi/ripgrep
cheat.sh,chubin,27700,https://www.github.com/chubin/cheat.sh
cli,cli,26400,https://www.github.com/cli/cli
angular-cli,angular,25100,https://www.github.com/angular/angular-cli
cobra,spf13,24100,https://www.github.com/spf13/cobra
lazygit,jesseduffield,22600,https://www.github.com/jesseduffield/lazygit
awesome-shell,alebcay,22500,https://www.github.com/alebcay/awesome-shell
python-fire,google,20500,https://www.github.com/google/python-fire
tqdm,tqdm,20200,https://www.github.com/tqdm/tqdm
fd,sharkdp,19700,https://www.github.com/sharkdp/fd
ava,avajs,19400,https://www.github.com/avajs/ava
pkg,vercel,19200,https://www.github.com/vercel/pkg
n8n,n8n-io,19000,https://www.github.com/n8n-io/n8n
modern-unix,ibraheemdev,18000,https://www.github.com/ibraheemdev/modern-unix
chalk,chalk,17400,https://www.github.com/chalk/chalk
ink,vadimdemedes,17400,https://www.github.com/vadimdemedes/ink
svgo,svg,17000,https://www.github.com/svg/svgo
cli,urfave,16900,https://www.github.com/urfave/cli
.tmux,gpakosz,15400,https://www.github.com/gpakosz/.tmux
goaccess,allinurl,14000,https://www.github.com/allinurl/goaccess
webpack-dashboard,FormidableLabs,13800,https://www.github.com/FormidableLabs/webpack-dashboard
ignite,infinitered,13200,https://www.github.com/infinitered/ignite
nnn,jarun,13000,https://www.github.com/jarun/nnn
git-history,pomber,12700,https://www.github.com/pomber/git-history
